Idalumno,CodAsig,Asignatura,Carrera,Semestre,Convocatoria,Anho,Ciclo,Aprobado,AnhoFirma,1P,2P,Taller,Asistencia,Requisito,1R,2R,NF,1F,2F,3F,Materias cursadas
1649,13015,ESTATICA,CIV-PLS13 ,3,2,2018,2,0,0,16,10,6,1,1,46,0,0,0,0,0,6
1649,13015,ESTATICA,CIV-PLS13 ,3,2,2019,2,1,2019,11,0,0,1,1,0,0,3,3,0,0,5
1652,13015,ESTATICA,IND-PLS13 ,3,1,2016,2,1,2016,9,25,2,1,1,0,0,2,1,1,2,7
1654,13015,ESTATICA,MEC-PLS13 ,3,1,2016,2,0,0,7,8,2,1,1,0,0,0,0,0,0,5
1654,13015,ESTATICA,MEC-PLS13 ,3,1,2017,2,0,0,8,14,8,1,1,8,14,0,0,0,0,4
1654,13015,ESTATICA,MEC-PLS13 ,3,1,2018,1,0,0,12,6,2,1,1,28,0,0,0,0,0,5
1654,13015,ESTATICA,ELE-PLS13 ,3,2,2018,2,0,0,15,13,4,1,1,0,0,0,0,0,0,5
1656,13015,ESTATICA,IND-PLS13 ,3,2,2021,2,0,0,0,0,1,1,0,0,0,0,0,0,0,6
1656,13015,ESTATICA,IND-PLS13 ,3,2,2022,2,0,0,0,0,5,1,0,0,0,0,0,0,0,4
1657,13015,ESTATICA,ELE-PLS13 ,3,1,2022,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4
1659,13015,ESTATICA,CIV-PLS13 ,3,1,2021,1,1,2021,6,24,6,1,1,0,0,2,2,0,0,5
1661,13015,ESTATICA,CIV-PLS13 ,3,2,2019,2,1,2019,16,25,5,1,1,0,0,4,1,4,0,5
1664,13015,ESTATICA,CIV-PLS13 ,3,1,2019,1,0,2019,20,20,3,1,1,0,0,1,1,0,0,4
1664,13015,ESTATICA,CIV-PLS13 ,3,2,2019,2,1,2019,11,0,0,1,1,0,0,2,2,0,0,6
1673,13015,ESTATICA,IND-PLS13 ,3,2,2019,2,0,0,9,15,5,1,1,24,0,0,0,0,0,6
1673,13015,ESTATICA,IND-PLS13 ,3,1,2021,1,1,2020,21,27,6,1,1,0,0,5,5,0,0,7
1674,13015,ESTATICA,CIV-PLS13 ,3,1,2017,2,0,2017,16,20,7,1,1,0,0,1,1,1,1,5
1674,13015,ESTATICA,CIV-PLS13 ,3,1,2018,1,1,2018,13,18,7,1,1,43,0,5,0,5,0,4
