Idalumno,CodAsig,Asignatura,Carrera,Semestre,Convocatoria,Anho,Ciclo,Aprobado,AnhoFirma,1P,2P,Taller,Asistencia,SumProceso,Requisito,1R,2R,NF,1F,2F,3F,Abandono,Materias cursadas,Veces recursada
690,13015,ESTATICA,ELE-PLS13 ,3,1,2021,1,1,2021,5,21,2,1,28,1,38,0,2,0,2,0,0,4,2
692,13015,ESTATICA,MEC-PLS13 ,3,2,2019,2,0,2019,10,20,5,1,35,1,0,0,1,1,0,0,0,5,0
693,13015,ESTATICA,MCT-PLS13 ,3,1,2016,2,1,2015,20,21,0,1,41,1,0,0,3,3,0,0,0,5,0
697,13015,ESTATICA,ELE-PLS13 ,3,1,2016,2,0,2016,4,13,6,1,23,1,0,0,1,0,1,0,0,5,0
697,13015,ESTATICA,ELE-PLS13 ,3,1,2017,2,0,2016,11,15,0,1,26,1,0,0,1,0,1,1,0,3,1
697,13015,ESTATICA,ELE-PLS13 ,3,1,2018,1,0,0,12,16,3,1,31,1,26,0,0,0,0,0,0,4,2
697,13015,ESTATICA,ELE-PLS13 ,3,2,2018,2,0,0,12,11,2,1,25,1,28,30,0,0,0,0,0,5,3
697,13015,ESTATICA,ELE-PLS13 ,3,1,2019,1,0,0,15,11,3,1,29,1,18,0,0,0,0,0,0,3,4
697,13015,ESTATICA,ELE-PLS13 ,3,2,2019,2,1,2019,9,25,8,1,42,1,0,0,2,1,2,0,0,4,5
700,13015,ESTATICA,IND-PLS13 ,3,1,2016,2,0,0,5,16,2,1,23,1,0,0,0,0,0,0,1,5,0
700,13015,ESTATICA,IND-PLS13 ,3,1,2017,2,0,0,7,17,5,1,29,1,19,10,0,0,0,0,1,7,1
700,13015,ESTATICA,IND-PLS13 ,3,1,2018,1,1,2018,11,20,8,1,39,1,0,0,2,2,0,0,0,7,2
703,13015,ESTATICA,CIV-PLS13 ,3,2,2022,2,0,0,4,3,2,1,9,0,0,0,0,0,0,0,1,5,0
707,13015,ESTATICA,CIV-PLS13 ,3,1,2022,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,4,0
707,13015,ESTATICA,CIV-PLS13 ,3,2,2022,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,3,1
710,13015,ESTATICA,ELE-PLS13 ,3,1,2016,2,1,2016,8,26,3,1,37,1,0,0,3,1,1,3,0,4,0
717,13015,ESTATICA,CIV-PLS13 ,3,1,2017,2,0,2017,13,25,6,1,44,1,10,0,0,0,0,0,0,5,0
717,13015,ESTATICA,CIV-PLS13 ,3,1,2018,1,0,2017,8,10,0,1,18,1,0,0,0,0,0,0,1,6,1
717,13015,ESTATICA,CIV-PLS13 ,3,2,2018,2,1,2018,16,21,7,1,44,1,0,0,4,4,0,0,0,7,2
720,13015,ESTATICA,ELE-PLS13 ,3,1,2016,2,0,0,6,15,2,1,23,1,0,0,0,0,0,0,1,5,0
720,13015,ESTATICA,ELE-PLS13 ,3,1,2017,2,0,0,8,11,2,1,21,1,0,0,0,0,0,0,1,5,1
720,13015,ESTATICA,MCT-PLS13 ,3,2,2018,2,0,0,6,16,8,1,30,1,0,6,0,0,0,0,1,3,2
720,13015,ESTATICA,MCT-PLS13 ,3,1,2019,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,5,3
720,13015,ESTATICA,MCT-PLS13 ,3,2,2019,2,0,0,0,4,2,1,6,0,0,0,0,0,0,0,1,1,4
727,13015,ESTATICA,CIV-PLS13 ,3,2,2021,2,0,0,8,18,2,1,28,1,0,0,0,0,0,0,1,6,0
727,13015,ESTATICA,CIV-PLS13 ,3,1,2022,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,1
727,13015,ESTATICA,CIV-PLS13 ,3,2,2022,2,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,5,2
728,13015,ESTATICA,ELE-PLS13 ,3,2,2019,2,1,2019,17,27,9,1,53,1,0,0,3,3,0,0,0,5,0
730,13015,ESTATICA,ELE-PLS13 ,3,1,2016,2,0,0,5,10,2,1,17,1,0,0,0,0,0,0,1,5,0
730,13015,ESTATICA,ELE-PLS13 ,3,1,2017,2,0,0,9,13,4,1,26,1,14,22,0,0,0,0,1,5,1
730,13015,ESTATICA,ELE-PLS13 ,3,1,2018,1,1,2018,14,14,7,1,35,1,0,0,2,2,0,0,0,7,2
731,13015,ESTATICA,ELE-PLS13 ,3,1,2016,2,0,0,4,12,5,1,21,1,0,0,0,0,0,0,1,5,0
731,13015,ESTATICA,ELE-PLS13 ,3,1,2017,2,1,2017,15,17,7,1,39,1,0,0,2,0,1,2,0,4,1
733,13015,ESTATICA,CIV-PLS13 ,3,1,2016,2,0,0,3,10,6,0,19,0,0,0,0,0,0,0,1,4,0
